id;name;age;company;location;position;;
FAZ;FrankfurterAllgemeineZeitung;;FrankfurterAllgemeineZeitungGmbH;FrankfurtAmMain;;;
FrJo;FreieJournalistin;;;;;;
UnHa;UniversitaetHamburg;;;Hamburg;;;
JoWoGoUn;JohannWolfgangGoethe-UniversitaetFrankfurtAmMain;;;FrankfurtAmMain;;;
NhLe;NhiLe;26;;;FreieJournalistin;;
SpPoSl;Sprachaktiv-U20PoetrySlam;;;Leipzig;;;
CoMa;CouragiertMagazin;;;;;;
StGe;StraßengezwitscherE.V. ;;;Dresden;;;
UnOh;OhioUniversity;;;Ohio;;;
MDR;MDR-MitteldeutscherRundfunk ;;;Leipzig;;;
NDR;NDR-NorddeutscherRundfunk;;;Hamburg;;;
DiMeWo;DigitalMediaWomenE.V.;;;Hamburg;;;
UnLe;Universitaet Leipzig;;;Leipzig;;;
SaUl;SarahUlrich;;;;Freie Journalistin;;
DeJoPrLaRe;DeutschesJournalistenProgrammLateinamerikaRecherchestipendium;;;Deutsch;;;
BJVPf;BayrischerJournalistenVerbandPressefreiheitpreis;;;Muenchen;;;
DIMR;Deutsches InstitutFuerMenschenrechte;;;Berlin;Recherchestipendium;;
N-Ost;NetzwerkFürOsteuropa-Berichterstattung ;;;Berlin;Recherchestipendium;;
HeBoSt;Heinrich-Boell-Stiftung;;;Berlin;Recherchestipendium;;
GoIn;Goethe-Institut ;;;Muenchen;Recherchestipendium;;
RoLuSt;Rosa-Luxemburg-Stiftung;;;Berlin;Studienstipendium;;
NeRe;NetzwerkRecherche;;;Berlin;;;
FrSc;Freischreiber;;;Hamburg;;;
DJU;DeutscheJournalistinnen-Union ;;ver.di;Berlin;;;
UnJe;Universitaet Jena ;;;Jena;;;
UnMa;Universitaet Mannheim;;;Mannheim;;;
DiRh;DieRheinpfalz;;RheinpfalzVerlagUndDruckereiGmbHCo.KG;LudwigshafenAmRhein;;;
Hu11FiGu;Hunter11Films ;;;Guatemala;;;
KrLe;Kreuzer-DasLeipzigMagazin;;KreuzerMedienGmbH;Leipzig;;;
TAZ;Taz.DieTageszeitung;;TAZVerlagsUndVertriebsgesellschaft;Berlin;;;
AmWe;AmelieMarieWeber;25;FunkeMediengruppe;Berlin;Redakteurin ;;
BuJo;BurdaJournalistenschule;;;Offenburg;;;
FoMa;FocusMagazin;;;Berlin;;;
